見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
和歌山県平成２９年台風第２１号災害義援金の受付,被災者を支援するため、県では義捐金を１月３１日まで受け付けています。,【義援金振込先】(1)紀陽銀行県庁支店口座番号：（普）410152(2)ゆうちょ銀行口座番号：00920-1-276103(3)きのくに信用金庫 本店口座番号：（普）2652614(4)和歌山県信用農業協同組合連合会本所口座番号：（普）6418(1)～(4)共通口座名義：和歌山県平成29年台風第21号災害義援金,,,,,,,,県庁福祉保健総務課、県庁会計課,,,,,http://www.pref.wakayama.lg.jp/prefg/040100/H29gienkin.html,,,
平成30年度県食品表示ウォッチャー,不適正な食品表示があった場合に県へ報告していただける方を募集,,,,,県が実施する研修を受講できる県内在住で20歳以上の方,30人（選考）,,,,郵送、ファックス、Eメールで住所、氏名(ふりがな)、年齢、性別、電話(ファックス)番号、メールアドレスを1月31日までに県庁食品・生活衛生課 ファックス073-432-1952,,,,http://www.pref.wakayama.lg.jp/prefg/031600/producer/watcher/seido.html,,e0316001@pref.wakayama.lg.jp,
「和歌山藩主徳川家墓所」文化財保全ボランティア,紀州徳川家墓所清掃活動と講座開催,,,(1)講座 2月18日（日）13:30～15:00(2)清掃 3月4日（日）9:00～（2時間程度）,(1)和歌山ビッグ愛（和歌山市）(2)長保寺（海南市）,(2)小学生以下は保護者同伴,,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を海草振興局総務県民課 ファックス073-423-9269,,,,http://www.pref.wakayama.lg.jp/prefg/130100/bunkazai.html,,e1301111@pref.wakayama.lg.jp,
統合型リゾート（IR）シンポジウム,講演、パネルディスカッションなど,,,1月15日（月）14:00～17:00,県民文化会館（和歌山市）,,300人（先着順）,,,,ハガキ、電話、ファックス、Eメールで氏名、電話番号を1月11日までに県庁企画総務課 ファックス073-422-1812,,,,http://www.pref.wakayama.lg.jp/prefg/020100/ir_sympo2018.html,,e0201001@pref.wakayama.lg.jp,
労働セミナー,労働関係法や労務管理などについての専門家による講演,,,(1)1月25日(2)2月1日いずれも木曜13:30～16:00,(1)情報交流センターBig・U（田辺市）(2)プラザホープ（和歌山市）,,(1)100人(2)200人（先着順）,,,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を1月19日までに県庁労働政策課 ファックス073-422-5004,,,,http://www.pref.wakayama.lg.jp/prefg/060600/index.html,,,
みんなに男女共同参画,,(1)ヒューマンライブラリーわかやま,本にみたてた語り手が多様な生き方について話す,1月21日（日）13:30～15:30,,りぃぶる（和歌山市）,,,電話、Eメールで氏名、電話番号を（(1)一時保育希望者は1月11日までに）問合先,和歌山ｅかんぱにい電話080-4645-2424,,,,,,,ecompany821@gmail.com,
みんなに男女共同参画,,(2)セクシャルマイノリティきそきそ講座,,2月10日（土）14:00～16:00,りぃぶる（和歌山市）,,,,電話、Eメールで氏名、電話番号を（(1)一時保育希望者は1月12日までに）問合先,チーム紀伊水道電話080-7950-2031,,,,,,,kii.suidoh@gmail.com,
みんなに男女共同参画,,(3)古民家noおんがくフェス,,2月12日（振休）10:00～11:30,MusicHouseねいろ（御坊市）,,,,電話、Eメールで氏名、電話番号を（(1)一時保育希望者は1月13日までに）問合先,古民家noおんがく部電話080-6169-3835,,,,,,,community.of.kominka@gmail.com,
和歌山県男女共同参画センターのぺージへリンク 親子でコンサートに行こう! !,～０歳からのコンサート～,,,2月4日（日）(1)13:00～(2)15:30～,県民文化会館（和歌山市）,,各328人（先着順）,"3歳以上 1,500円（全席指定） ",,,電話、インターネットで（一時保育［有料］希望者は8日前までに）会場 電話073-436-1331※各プレイガイドでも発売,,,,http://www.wacaf.or.jp/index.html,,,
第71回県展,,①表彰式とコンサート,,1月13日（土）(1)表彰式11:00～(2)コンサート14:00～15:00,県立近代美術館（和歌山市）,,(2)は100人（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号、(1)は希望枚数（1人4枚まで）、(2)は年齢、保護者氏名を県庁文化学術課ファックス073-436-7767,,,,http://www.pref.wakayama.lg.jp/prefg/022100/kenten/kenten.html,,e0221003@pref.wakayama.lg.jp,
第71回県展,,②アートワークショップ「書」,,1月14日（日）14:00～ ,県民文化会館（和歌山市）,小・中学生,20人程度（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号、(1)は希望枚数（1人4枚まで）、(2)は年齢、保護者氏名を県庁文化学術課ファックス073-436-7767,,,,http://www.pref.wakayama.lg.jp/prefg/022100/kenten/kenten.html,,e0221003@pref.wakayama.lg.jp,
県消費生活センターからのお知らせ,,①生活教養講座,今話題の生活情報や災害に備える知識など幅広く学べる講座,2月7～28日の水曜（全4回）いずれも13:30～15:00,西牟婁振興局（田辺市）,,各40人（先着順）,,郵送、電話、ファックスで住所、氏名、電話番号を1月19日までに問合先,県消費生活センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛8階 電話073-433-1551 ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
県消費生活センターからのお知らせ,,②「消費生活サポーター」養成講座,地域での啓発活動ボランティアを募集,(1)2月20日（火）(2)23日（金）(3)26日（月）いずれも10:00～16:30,(1)西牟婁振興局 （田辺市）(2)那賀振興局（岩出市）(3)和歌山ビッグ愛（和歌山市）,県内在住で20歳以上の方 ,各40人（先着順）,,郵送、ファックスで所定の申込書（WEBサイトで配布）を2月13日までに問合先,県消費生活センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛8階 電話073-433-1551 ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
ヤフー！官公庁オークションで県有地を売却します,ヤフーのWEBサイトから参加仮申込をしてください。,,入札参加仮申込期間：1月15日13:00～2月2日14:00入札期間：2月19日13:00～26日13:00※締切後開札,,,,,,,県庁管財課,,,,,https://koubai.auctions.yahoo.co.jp/wakayama/,,,
3月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン基礎科(2)ビル管理技術科(3)パソコン・簿記事務科,,,(1)和歌山市・橋本市(2)和歌山市(3)田辺市・新宮市,,,,,ハローワーク（申込締切日あり）,,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
県聴覚障害者情報センターからのお知らせ,,①要約筆記者養成講座（手書きコース）,,2月1日～5月24日の木曜（全12回）,田辺市民総合センター,要約筆記の学習が初めての方,15人（抽選）,"3,400円",郵送、電話、ファックス、Eメールで住所、氏名、年齢、性別、電話（ファックス）番号を1月18日までに問合先,県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,,,,,
県聴覚障害者情報センターからのお知らせ,,②聴覚障害者文化教室,キャンドルフォルダー作り ,2月3日（土）13:30～15:30,和歌山ビッグ愛（和歌山市）,県内在住の聴覚障害者の方,20人（抽選）,"3,200円",郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を1月13日までに問合先※手話通訳・要約筆記は要予約,県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,,http://wakayama-tyoukaku.la.coocan.jp/,,w-mikan@nifty.com,
在宅医療・看取りに関する講演会,石賀丈士氏（いしが在宅ケアクリニック理事長）,,,2月11日（祝）14:00～15:30,JAビル（和歌山市）,,400人（先着順）,,,,ファックス、Eメールで氏名、電話（ファックス）番号、メールアドレスを1月19日までに県庁医務課ファックス073-424-0425,,,,http://www.pref.wakayama.lg.jp/prefg/050100/imuka/eol.html,,e0501001@pref.wakayama.lg.jp,
和歌山で就職しよう！,①大阪セミナー,,,1月14日（日）10:30～15:00,エルおおさか（大阪市）,県内就職希望の大学生など ,50人（先着順）,,,,電話で住所、氏名、電話番号をジョブカフェわかやま電話073-402-5757,,,,http://www.jobcafe-w.com/,,,
和歌山で就職しよう！,②県内企業就職面談会,,,(1)1月13日（土）13:00～15:30(2)15日（月）13:00～16:00,(1)紀南文化会館（田辺市）(2)和歌山ビッグ愛（和歌山市）,平成30年3月卒業見込みの大学・短大・高専・専門・高校生、一般求職者,,,,県庁労働政策課,,,,,http://www.wakayama-uiturn.jp/,,,
病気の子どもとその家族の学習会,テーマ：「NICUから在宅へ」－在宅呼吸ケアを持って帰る児への対応－,,,1月27日（土）13:30～15:30,県立医大生涯研修センター（和歌山市）,新生児医療に関心のある方,40人（先着順）,,,,電話、ファックスで氏名、電話番号、一時保育の有無を1月16日までに県難病の子ども家族会事務局電話073-445-0520　ファックス073-445-0603,,,,,,,
クラウドファンディング活用セミナー・個別相談会,講師：富澤由佳氏（READYFOR（株）地方創生事業部マネージャー）,,,1月29日（月）14:00～16:30,西牟婁振興局（田辺市）,県内の中小企業者など ,30人（先着順）（個別相談は3人）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、振興局企画産業課、WEBサイトで配布）を1月19日までに県庁商工振興課ファックス073-422-1529,,,,http://www.pref.wakayama.lg.jp/prefg/060300/seminar-tanabe.html,,e0603001@pref.wakayama.lg.jp,
県観光キャンペーンスタッフ「きのくにフレンズ」,きのくにフレンズの写真メディアなどへの対応や観光キャンペーンでPR,,面接審査：2月3日（土） 県民文化会館（和歌山市）委嘱期間：4月1日から1年間,,,県内在住または県出身の18歳以上（平成30年3月31日現在、高校生不可）で行動的な方など,3人,,,,郵送、持参で履歴書を1月26日までに県観光連盟（県庁観光振興課内）電話073-422-4631,,,,,,,
データ利活用シンポジウム,講演、県データ利活用コンペティション最終審査会・表彰式など,,,2月10日（土）13:00～17:45,県民文化会館（和歌山市）,,300人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を1月26日までに県庁企画総務課 ファックス073-422-1812,,,,http://www.pref.wakayama.lg.jp/prefg/020100/data/,,e0201001@pref.wakayama.lg.jp,
喜の国いきいき健康長寿祭　ふれあいボウリング交流大会,,,,3月7日（水）12:45～15:50,J-Bowl御坊店（御坊市）,県内在住で昭和34年4月1日以前生まれの方,88人（先着順）,500円※貸靴代別 ,郵送、ファックスで所定の申込書（申込先で配布）を1月25日～2月15日に県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5214　ファックス073-435-5221,,,,,,http://www.wakayamakenshakyo.or.jp/,,,
県立橋本体育館からのお知らせ,,(1)キッズバトン教室,,1月11日～3月15日の木曜（全10回）16:30～17:30,県立橋本体育館（橋本市） ,4歳～小学1年生, 20人（先着順）,"5,140円 ",,,申込書（申込先で配布）を会場橋本市北馬場455 電話0736-32-9660,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
